date,title,amount
2026-05-22,99app *99app,"8,08"
2026-05-19,Dl*99 Ride,"9,60"
2026-05-18,Cais Parking,"15,00"
2026-05-18,Porto Garibaldi Comer,"202,05"
2026-05-17,Box Ponto Certo,"50,00"
2026-05-17,Caldeirao Furado,"206,46"
2026-05-17,Miguel Gustavo Freitas,"11,00"
2026-05-16,Casa Colonial,"39,00"
2026-05-16,Lisaruthdelicias,"131,56"
2026-05-16,Viasul,"5,50"
2026-05-16,Rota Santa Maria,"5,40"
2026-05-16,Rota Santa Maria,"5,40"
2026-05-16,Mp *Internacional,"90,00"
2026-05-16,Rota Santa Maria,"5,40"
2026-05-16,Rota Santa Maria,"5,40"
2026-05-16,Rota Santa Maria,"5,40"
2026-05-16,Mp *Internacional,"225,00"
2026-05-15,Uffa Rede de Lojas de,"6,01"
2026-05-15,Localiza - Parcela 1/6,"93,63"
2026-05-15,Dl*99 Ride,"9,50"
2026-05-15,Zeferino Alimentos,"82,16"
2026-05-14,Dl*99 Ride,"9,50"
2026-05-14,Uffa Rede de Lojas de,"6,18"
2026-05-13,Dl*99 Ride,"9,10"
2026-05-13,Dl*99 Ride,"8,70"
2026-05-13,Dl*99 Ride,"17,30"
2026-05-13,Stangherlin Supermerca,"17,30"
2026-05-13,Uffa Rede de Lojas de,"6,05"
2026-05-12,Zp*Ki-Ki Presentes San,"20,00"
2026-05-12,99app *99app,"10,40"
2026-05-12,Camilla Presentes,"55,00"
2026-05-12,Dl*99 Ride,"10,50"
2026-05-12,99app *99app,"8,32"
2026-05-12,Dl*99 Ride,"10,40"
2026-05-12,Dl*99 Ride,"12,00"
2026-05-12,Uffa Rede de Lojas de,"5,13"
2026-05-11,Dl*99 Ride,"14,70"
2026-05-11,Netflix.Com,"59,90"
2026-05-11,Uffa Rede de Lojas de,"70,63"
2026-05-11,Raia3427,"35,88"
2026-05-11,Dl*99 Ride,"21,90"
2026-05-11,Mp *Melimais,"39,90"
2026-05-10,Conveniencia,"36,99"
2026-05-10,Dl*99 Ride,"14,20"
2026-05-10,Farmacia Sao Joao,"33,89"
2026-05-10,99app *99app,"10,40"
2026-05-10,Dl*99 Ride,"25,00"
2026-05-10,99app *99app,"25,10"
2026-05-09,Dl*99 Ride,"11,70"
2026-05-09,Dl*99 Ride,"27,90"
2026-05-09,Academia Dojo,"160,00"
2026-05-09,Uffa Rede de Lojas de,"3,06"
2026-05-09,Dl*99 Ride,"11,80"
2026-05-09,Dl*99 Ride,"17,40"
2026-05-09,Pao Quente,"9,80"
2026-05-09,Dl*99 Ride,"8,80"
2026-05-09,Unicesumar,"264,00"
2026-05-09,Dl*99 Ride,"21,50"
2026-05-08,Pagamento recebido,"- 2.307,13"
2026-05-07,Pagamento recebido,"- 500,00"
2026-05-04,Pg *Photoy - Parcela 8/10,"8,99"
2026-05-04,Servico Educ*Ntstore - Parcela 8/9,"139,88"
2026-05-04,Britto e Rosa - Parcela 5/6,"43,31"
2026-05-04,Htm *Clubekaratex - Parcela 8/10,"12,25"
2026-05-04,Pg *Photoy - Parcela 8/10,"8,99"
2026-05-04,Servico Educ*Ntstore - Parcela 5/10,"71,90"
